"","gene_id","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val"
"467","AC005339.2",38.4053868918737,2.2059403908334,0.169693091290007,12.9977001835663,1.26078003173559e-38,7.1025025863465e-38
"470","AC005355.2",65.8024990526878,2.28126539609939,0.117576572000261,19.4009330526744,7.57834081209007e-84,1.76588368300688e-82
"489","AC005517.3",27.7742771761881,-2.42086013516385,0.10983117192428,-22.0407168977251,1.17265851044993e-107,6.13810999278117e-106
"505","AC005550.3",90.190039425258,4.82466452058316,0.300864981025171,16.0245759970543,8.60759955141674e-58,8.44012817077056e-57
"526","AC005616.1",1.30891321843486,-3.81615127100073,0.315339991856315,-12.1117510863011,9.15192312915723e-34,4.49646416956844e-33
"533","AC005682.5",70.1088394978697,-2.39369787484519,0.114090356504119,-20.9804748608401,9.89009543297569e-98,3.6402589088977e-96
"535","AC005682.7",0.988512248154897,-2.38643242363517,0.30140340257805,-7.92079972628408,2.35987783633911e-15,6.76438659373563e-15
"561","AC005785.5",18.5291312845522,-2.30933344056314,0.0990752756867264,-23.3075716102745,3.71493785984891e-120,3.02975533756557e-118
"578","AC005943.6",3.64580929782307,2.44564207828344,0.32364645937082,7.54394649391319,4.55958275492597e-14,1.24956217300711e-13
"579","AC005944.2",271.26220587518,2.09315619174946,0.174279178133075,12.0101821736649,3.14152249078773e-33,1.51954287083629e-32
"589","AC006019.3",0.64609451819072,-2.55536123780937,0.40843115840409,-6.2590917394085,3.87226042737169e-10,9.13402684668354e-10
"593","AC006026.9",0.339022272081988,-2.01201758582645,0.451381866873025,-4.4641509909753,8.03868633814579e-06,1.54478275299429e-05
"595","AC006033.22",12.3610318528979,-3.01044814789144,0.189067558845967,-15.9207206312469,4.55104883347111e-57,4.37519514902786e-56
"597","AC006042.6",28.334785249908,-2.00485323356419,0.106948980096832,-18.7455103898908,2.10641172402547e-78,4.03130695576636e-77
"618","AC006128.2",567.099031449344,-2.00728977389144,0.0981339573080621,-20.4545660481428,5.47068615436903e-93,1.69332813171848e-91
"620","AC006129.2",24.3588256919291,2.09208076886034,0.179709904742745,11.6392100031325,2.60416497036427e-31,1.19270330869182e-30
"636","AC006262.5",36.1024541544631,3.42576315681712,0.346234903851944,11.3140357974865,1.11824916760801e-29,4.90333237910441e-29
"639","AC006273.4",11.1294876229651,-2.15885973261564,0.150814417822743,-14.3140367686017,1.78824645855785e-46,1.26295307736092e-45
"672","AC006538.4",5.41467692454055,3.03197151674275,0.51079935120407,5.92285462163233,3.1640053792778e-09,7.176151134284e-09
"675","AC006539.3",1.21093190458367,-2.30563638211535,0.291311475301508,-7.91216015038366,2.52960683248728e-15,7.24614476317679e-15
"679","AC006547.8",10.2473614313832,2.19588369687247,0.425172636589771,5.16171028483757,2.44703800919215e-07,5.10768672762404e-07
"689","AC006994.1",4.046314200191,-2.67454851286558,0.16576825939707,-16.125597507758,1.68620304945402e-58,1.69136621265725e-57
"691","AC006994.3",12.0118260957687,-3.18768190528957,0.179679112594663,-17.7363725539137,2.19665998128094e-70,3.20648733249736e-69
"702","AC007040.6",0.546234786093421,-2.71282487591824,0.411728155581416,-6.59934630255905,4.12974636581378e-11,1.01462706025087e-10
"722","AC007163.2",0.738175142930197,-2.53269550809188,0.319821912170615,-7.92699339977244,2.24515216666752e-15,6.43929167311399e-15
"727","AC007182.6",1.82767459123451,2.58905056152964,0.343193160635855,7.52853687678,5.13120270708025e-14,1.40250019757561e-13
"730","AC007193.10",1.68194996847705,-2.42669585077749,0.259126121225561,-9.35715841104891,8.1909924435762e-21,2.7848807555525e-20
"759","AC007283.5",32.6642044641335,2.84614971105219,0.219754839619183,12.946663140439,2.4539066818407e-38,1.36963043679054e-37
"766","AC007308.7",4.28540718922801,3.44932062411365,0.644525542456632,4.0762036397069,4.57769331393332e-05,8.42419007400023e-05
"772","AC007326.9",1.3266998706635,-2.64649473730223,0.298081092583285,-8.87785640997845,6.81611489121688e-19,2.19085426307224e-18
"775","AC007349.4",25.8112563583414,-4.39755727519158,0.204964919399987,-21.4454849498078,5.0319067394425e-102,2.14771176902806e-100
"776","AC007349.5",12.3277212712738,-3.23447604807322,0.215076376700329,-15.0349842532904,4.33151331659866e-51,3.48703232593679e-50
"790","AC007386.4",4.99118057546377,2.04006061640118,0.242062290173032,8.41996661392252,3.76591610896453e-17,1.14527434816181e-16
"802","AC007403.3",2.9986710759027,-3.72964222906592,0.243728634073039,-15.2726819239397,1.16290248237879e-52,9.80139292073546e-52
"807","AC007461.2",10.7082709478926,-2.94653864200631,0.150433643146554,-19.5819255234811,2.20524777668661e-85,5.36437438747219e-84
"809","AC007551.2",0.377140609657955,-2.19059829356594,0.518467030753735,-4.23014068136721,2.33545210769596e-05,4.3792512093841e-05
"838","AC007790.4",2.51577245556829,-3.59887069030911,0.229794819641026,-15.6281048486422,4.68531903361808e-55,4.23791742318285e-54
"839","AC007792.1",1.73325114085192,-2.6945245597498,0.225842713101246,-11.9177006066214,9.57137851769654e-33,4.56670578384089e-32
"848","AC007879.7",12.6227280510508,2.39026328491511,0.19281797970787,12.3894652724738,2.98023940093228e-35,1.52841762362228e-34
"885","AC008132.14",0.70528642829286,-2.56327339392246,0.413927065651384,-6.19933997851298,5.67004330519693e-10,1.32798738278891e-09
"898","AC008269.2",0.588063913013054,-2.01402741488331,0.339482351183156,-5.94027798180383,2.84539171913993e-09,6.46620120704073e-09
"903","AC008280.1",0.423189946003858,-2.00841367043707,0.395332930168318,-5.08444847402663,3.68695838294115e-07,7.62210539223858e-07
"907","AC008440.10",1.42279844964053,2.05741215344119,0.285511086194111,7.1973327940821,6.14017732102729e-13,1.61365403456065e-12
"936","AC008982.2",3.36839574718224,-2.04653078489505,0.187839530059423,-10.8928944888009,1.2461553687067e-27,5.14833079809357e-27
"946","AC009014.3",117.515741847294,3.94278422868802,0.196135304518956,14.8975037137432,3.42124676194396e-50,2.68548742436136e-49
"951","AC009065.4",29.564550499211,4.05168162267794,0.252890324984316,16.0006442815064,1.26459604305115e-57,1.2347558482946e-56
"966","AC009133.22",26.9502480942723,-4.76640003103527,0.341665711657629,-13.9415415868419,3.54206000871057e-44,2.32723347722568e-43
"1024","AC009495.3",2.51113786945473,-2.84542501872881,0.2265906632559,-12.5451389261194,4.22672424379931e-36,2.21330131908553e-35
"1039","AC009542.2",7.27891632100357,-2.33862959233126,0.131979875455401,-17.7167179077782,3.11568431548034e-70,4.52292908976647e-69
"1112","AC010761.13",10.4504537938465,-2.68299348769256,0.147281794992344,-18.2135742592053,4.0277288347618e-74,6.65531822171024e-73
"1131","AC010967.2",7.9321798748901,-2.15417269682244,0.173564757287137,-12.4102432543524,2.29953089151928e-35,1.18178270813992e-34
"1151","AC011284.3",1.0943499372482,-2.47293134696964,0.304643908061489,-8.11871688682522,4.71138140178194e-16,1.38429182228902e-15
"1156","AC011294.3",9.52392011115973,2.58403953465525,0.244053133511831,12.3552112326973,4.56555349734985e-35,2.3323184922784e-34
"1157","AC011298.2",2439.41646677724,-5.83083071734301,0.203236617625881,-28.6895687344265,5.14841311339744e-181,1.82328035574462e-178
"1192","AC011754.1",13.5221655590948,-5.00323900017794,0.363160632152903,-13.7640264137473,4.19497384807038e-43,2.67837886323775e-42
"1194","AC011893.3",1.78936542203119,2.68773614982659,0.285497273181723,9.39439964595377,5.75450501145559e-21,1.96464818482125e-20
"1201","AC011997.1",1.1342842600098,2.34537810388311,0.376043697624899,6.22873520026196,4.7021576618405e-10,1.10472040214529e-09
"1211","AC012078.2",0.489269063945951,-2.7135100570998,0.60146351799637,-4.50666507899231,6.5854455169934e-06,1.2725451667552e-05
"1217","AC012314.8",223.239204387529,-3.92125460559539,0.0990332023222022,-39.5940020325284,0,0
"1220","AC012354.8",0.932106932973688,-2.3630092012734,0.322712118290408,-7.33333992781391,2.24486574108879e-13,5.99454332465189e-13
"1222","AC012358.7",8.56596232177294,-2.38077903314506,0.128993420572673,-18.4538513786189,4.85579115846374e-76,8.57892810962741e-75
"1223","AC012358.8",69.6220890464868,-2.22158487122183,0.0859884327005543,-25.8356913367459,3.52363940444989e-147,5.86924851647989e-145
"1256","AC012512.1",2.1891060675659,2.5372601100471,0.249583110278811,5.90069762244776,3.61967762672796e-09,8.19121107055875e-09
"1259","AC012531.25",6.53659181696812,2.08488006444994,0.245175402500305,8.49722274241754,1.94180601625707e-17,5.95927820275319e-17
"1264","AC013264.2",2.48273782011837,2.0440360131999,0.273520468862653,10.8155523267608,2.90537261384879e-27,1.18931789493279e-26
"1289","AC013460.1",16.9800920522678,-4.38655049220184,0.151728406705171,-28.8871452486528,1.73170913733636e-183,6.42202699893325e-181
"1298","AC013717.3",1.00788437806025,-2.10380009319283,0.275117033152898,-7.64719722287274,2.05407162845362e-14,5.70639969713865e-14
"1307","AC015849.16",4.34511343381228,2.52143282176212,0.214048915266865,11.7588433309456,6.35995891784846e-32,2.96290572482369e-31
"1308","AC015849.19",15.917519500347,-2.41584812033994,0.107526006831875,-22.4657234154339,8.98370524741072e-112,5.48368716266639e-110
"1317","AC015971.2",63.8714732303148,-2.77862064035461,0.129698572720741,-21.4229135506288,8.17145818572463e-102,3.45026875704442e-100
"1319","AC015977.6",1.05563498138912,-3.66886103489498,0.38647105280686,-9.50229126545941,2.05321960435075e-21,7.11370197840897e-21
"1346","AC016722.4",88.7028482834798,-3.54543412283593,0.100714735211233,-35.2005148082956,1.96360353907596e-271,4.54054441888683e-268
"1349","AC016730.1",2.9837785489982,-2.60329346434256,0.293290416687586,-8.87127555551622,7.23127723199683e-19,2.3216392354606e-18
"1353","AC016735.2",213.407711396199,2.93004470113304,0.264554418437182,11.0745650664408,1.66687536133474e-28,7.07459192982818e-28
"1357","AC016738.4",155.817823292369,-2.69308125049201,0.108141240642561,-24.9030492642678,6.89529137165097e-137,8.97529482846356e-135
"1365","AC016757.3",124.720260599161,-2.64917077890179,0.137238655905376,-19.3032259398267,5.0458560808776e-83,1.14787385728761e-81
"1382","AC017002.1",13.6185751086114,2.36365695339853,0.165516952485125,14.2736251539181,3.19527285211482e-46,2.24096656229498e-45
"1411","AC018462.2",1.84921051399271,-2.99457835241176,0.264375976248658,-11.3132170290486,1.12873635862599e-29,4.94821303196028e-29
"1429","AC018755.17",2.92340285710897,-2.03157584477725,0.181484090464074,-11.1922695313633,4.4489798242908e-29,1.9161761465199e-28
"1433","AC018766.6",5.34983020020572,-2.29285203069815,0.148122777901291,-15.4768534845525,4.97203445800921e-54,4.35108358291055e-53
"1438","AC018816.3",14.0102747333596,2.22216640790821,0.159046446071308,13.9659765695368,2.51435176214509e-44,1.65921047120906e-43
"1448","AC019048.1",1.38601073129651,-3.41170392634408,0.267600122456417,-12.7590688032482,2.77498483510858e-37,1.50233650830627e-36
"1456","AC019117.1",8.22257387681,4.48122579291598,0.302853493813446,14.7616757330679,2.58770405781637e-49,1.97981016957496e-48
"1463","AC019181.2",12.0816652698927,-2.64164672342724,0.146359435624594,-18.0465419107065,8.39873908965816e-73,1.32752084284062e-71
"1464","AC019181.3",5.47847125329427,-2.25219253651276,0.159012057336241,-14.1608149380946,1.60126383382984e-45,1.10064139373756e-44
"1472","AC020571.3",26.8362137101757,2.51739285023436,0.187289508068495,13.4365585013048,3.69212369373472e-41,2.2205841860574e-40
"1486","AC021218.2",135.689135963667,4.35871358050306,0.267370742132329,18.3597542874397,2.75852442932217e-75,4.74770557428434e-74
"1500","AC022182.3",6.04343174526198,2.41674782158434,0.241894802065738,12.4982649206074,7.62983895293353e-36,3.96731440793409e-35
"1503","AC022210.2",37.9596596400645,-3.15495714562688,0.120706396808666,-26.1353055240406,1.44792194050794e-150,2.63508386487811e-148
"1511","AC023115.2",24.3353578856818,-2.64745925522514,0.134270013304936,-19.7163747127365,1.5601861451693e-86,3.9773616969264e-85
"1548","AC025811.3",18.4191915098963,-3.95760013963446,0.230961793773223,-17.1293682642187,8.96225804672059e-66,1.12774124141033e-64
"1549","AC025918.2",2.19659342340796,-2.08685168869958,0.184626784040341,-11.2988051068321,1.33015516301907e-29,5.81628470058728e-29
"1554","AC026202.3",20.629135654691,-2.34927442357518,0.119234410938057,-19.7021581856949,2.06621845333562e-86,5.25035859086124e-85
"1562","AC027119.1",2.1958872639397,2.68725355935435,0.464254128670382,6.88654354038583,5.7164269986425e-12,1.45050829664754e-11
"1580","AC044907.1",0.408032115906389,-2.42446686639692,0.440204669438473,-5.51596217451986,3.46876866295193e-08,7.53105579038111e-08
"1599","AC061992.2",4.40426655312302,2.72287065204806,0.187849157697555,14.4632555465276,2.067813091523e-47,1.50084439859249e-46
"1609","AC063976.7",49.8149087729936,-3.2052929226926,0.109679577438527,-29.2218904668567,1.02233992517222e-187,4.01881824585201e-185
"1623","AC066694.1",4.14970560796034,4.06221291984128,0.584125510799923,6.29184027155173,3.13724215253029e-10,7.42608472427083e-10
"1660","AC068580.7",1.65437588033397,2.19071926682563,0.352627916678901,6.18158009089662,6.34631485894337e-10,1.48302007552648e-09
"1664","AC068831.10",26.0646758346401,-2.45989173675875,0.106855695411667,-23.0198398717342,2.95032678642337e-117,2.1841308093089e-115
"1669","AC068831.17",13.3266055609603,-4.67383949973323,0.186818236827393,-24.9855048433257,8.78753288966184e-138,1.17896900304644e-135
